INCL,LNG,MS,MS_subtype,r_overview,item,gloss,function_classes,clacomb_sem,notes,cxn_related,piv_sens,pro_null,mainCla_pro,cpxPreds,locii,source,examples
sample,LML,int_disc_misc,,"di-ya-lakgarni 'DEF-IV=LOC""",di-ya-lakgarni,DEF-IV-LOC,t_result_purp,'then',,,,,,,,?,(texts)
sample,MUP,cjxCla,right-edge,-yi 'and',-yi,and,t_prior_cause,,,,,,,,,?,"[W1976]""T1-076""_""T1-100""_""T1-103"""
sample,WAP,nfin,"converb, post-infl",[V:INFIN]:rlu 'ERG',:rlu,ERG,compar_manner,,,,,yes,,,,?,"[S1983]""47"", ""198"", [S1991]""72b"""
sample,WAP,int_disc_misc,,[X]-yijala 'ALSO',-yijala,ALSO,"addit, t_result_purp",,,,,,,,,?,"[S1991]""118"", ""364a"""
sample,WAP,int_disc_misc,,ngari 'JUST',ngari,JUST,contr_advers,,,,,,,,,?,"[S1980_44]""2"", [S1983]""22'"", ""80"", ""97"", ""108"", [S1991]""268b"""
sample,JLU,nfin,sV-RECO,(auxiliary omission),(auxiliary omission),(auxiliary omission),t_result_purp,,,,,yes,,,,(none?),"""4-61e"", ""4-62g"":4-62i"""
sample,GGL,cjxCla,left-edge,(interrogatives),(interrogatives),(interrogatives),complement,,,,,,,,,(none),"[K1983]""246"", [R2014]""54"", ""73"""
sample,GGL,int_disc_misc,,gada 'again',gada,again,t_result_purp,,,,,,,,,(none),"[K1983]""243"""
sample,GGL,nfin,sV-RECO (sui generis),(^PRO),(^PRO),(^PRO),t_result_purp,temp-future,imperatives,,SS,yes,,,,(none),"[K1983]""242"", ""T2-19"""
sample,GUG,int_disc_misc,,geno 'when',geno,when/time,t_simult_circ,"""that is the time""",,,,,,,,(none),"""2-074a"", ""T1-18"""
sample,GUG,int_disc_misc,,djapu 'like',djapu,like,compar_manner,,"N-compar, adverbial?",,,,,,,(none),"""3-1g"", ""3-1h"", ""3-29"", ""5-157"", ""5-216"""
sample,GWA,int_disc_misc,?,but 'but',but,but,contr_advers,,,,,,,,,(none),"""6-153"""
sample,NGM,nfin,converb,[V]:nguu 'ABL',:nguu,ABL,t_result_purp,,very marginally attested,,,,,,,(none),"""T6-13"""
